wanted,position,positionid,from,start,end
Q2246940,Vice President,Q3246669,Q477828,2020-02-19,2021-08-15
Q98931713,Minister of Defence,Q112999440,Q500500,2018-12-23,2021-03-19
Q113076743,Chief of General Staff,Q65051130,Q28062393,2015-05-22,2017-04-24
Q24237654,President,Q1140706,Q172388,2014-09-29,2021-08-15
Q24572400,Vice President,Q3246669,Q7424823,2014-09-29,2021-08-15
Q317219,Chief Executive Officer,Q20204943,Q317556,2014-09-29,2021-08-15
Q4696012,Minister of Commerce and Industries,Q113100187,Q3270084,2010-06-28,2013-11
Q24237654,Deputy Leader,Q112999416,Q2829007,2010-03-24,2015-07-29
Q6891822,"Minister of Frontiers, Nations and Tribal Affairs",Q112999443,Q500500,2008,2012-09-15
Q61706123,Speaker of the House of Elders,Q61705914,Q380474,2005-12,2011-01-29
Q4665369,Governor of Daykundi,Q112999611,Q7424823,2004-03-28,2004-12-22
Q113043469,Governor of Farah,Q112999711,Q809975,2004-02,2004
Q903527,Minister of Housing and Urban Development,Q112999545,Q10947979,2002-04,2003-08
Q317556,Prime Minister,Q532240,Q4665452,2001-04-16,2001-11-13
