item,itemLabel,startDate,endDate
Q56292468,Sher Mohammad Abbas Stanikzai,1996,2001
Q2982411,Wakil Ahmed Muttawakil,1999-10-27,2001-10
Q317556,Abdullah Abdullah,2001-12-22,2005-03-22
Q77348,Rangin Dadfar Spanta,2005-04-20,2010-01-18
Q145180,Zalmai Rassoul,2010-01-18,2013-10-28
Q4695423,Zarar Ahmad Osmani,2013-10-28,2014-12-12
Q19271885,Atiqullah Atifmal,2014-12-12,2015-02-01
Q7403481,Salahuddin Rabbani,2015-02-01,2019-10-23
,Idrees Zaman(acting),2019-10-30,2020-01-22
Q3918461,Mohammad Haneef Atmar,2020-04-04,2021-08-15
Q60499905,Amir Khan Muttaqi,2021-09-07,
