item,itemLabel,position,positionLabel,start,psid
Q108321646,Abdul Baqi Haqqani,Q112999598,Minister of Higher Education,2021-08-29,Q108321646-3AF91B9C-1172-48C9-80ED-B60627B769E9
Q21662937,Gul Agha Ishakzai,Q113099929,Minister of Finance,2021-08-24,Q21662937-EE1F0167-0D7C-49DB-A0C3-8006B9CCE91B
Q2246940,Sirajuddin Haqqani,Q112999416,Deputy Leader of the Islamic Emirate of Afghanistan),2021-08-15,Q2246940-F7F9FC3B-3D31-4A22-A1F0-D4E05F50078A
Q2246940,Sirajuddin Haqqani,Q112999531,Minister of the Interior of Afghanistan,2021-09-07,Q2246940-7CE83C58-2073-4682-9421-0A24A7AB6515
Q24572400,Mohammad Yaqoob,Q112999416,Deputy Leader of the Islamic Emirate of Afghanistan),2021-08-15,Q24572400-DECC0E15-B90E-4986-9B0B-E5E742210C14
Q24572400,Mohammad Yaqoob,Q112999440,Afghan Minister of Defense,2021-09-07,Q24572400-A710BB20-419D-49F9-86E8-0511E57BF1CD
Q317219,Abdul Ghani Baradar,Q112999100,Deputy Prime Minister of Afghanistan,2021-09-07,Q317219-36CD83D7-DB33-43BA-8092-2717A0AA7F5D
Q317219,Abdul Ghani Baradar,Q112999416,Deputy Leader of the Islamic Emirate of Afghanistan),2021-08-15,Q317219-E2F14038-8339-4698-9C31-EAED47735918
Q47544884,Rokhan Wolasmal,Q112999545,Minister of Housing and Urban Development of Afghanistan,2018-06-18,Q47544884-fe82d88e-4398-9daa-d66e-b71649bb8cc1
Q60499905,Amir Khan Muttaqi,Q108104065,Foreign Minister of Afghanistan,2021-09-07,Q60499905-3C0C2931-637D-4101-9261-5796E2612A45
